id,name,engine_size,cylinders,turbo,petrol,combined_fuel_consumption
1,Acura INTEGRA,1.5,4,1,1,7.176331318
2,Acura INTEGRA A-SPEC,1.5,4,1,1,7.840333333
3,Acura INTEGRA A-SPEC,1.5,4,1,1,7.391984814
4,Acura MDX AWD,3.5,6,0,1,11.0865487
5,Acura MDX AWD Type-S,3,6,1,1,12.066259
6,Acura MDX FWD,3.5,6,0,1,10.55330719
7,Acura RDX AWD,2,4,1,1,10.22652174
8,Acura RDX AWD A-SPEC,2,4,1,1,10.30447735
9,Acura RDX FWD,2,4,1,1,9.800416667
10,Acura RDX FWD A-SPEC,2,4,1,1,9.950377142
11,Acura TLX AWD,2,4,1,1,9.786878152
12,Acura TLX AWD A-SPEC,2,4,1,1,9.839816934
13,Acura TLX FWD,2,4,1,1,9.333804237
14,Acura TLX FWD A-SPEC,2,4,1,1,9.4713275
15,Acura TLX Type-S,3,6,1,1,11.20047619
16,Acura TLX Type-S Perf Tire,3,6,1,1,11.01268371
17,ALFA ROMEO Giulia,2,4,1,1,8.726089602
18,ALFA ROMEO Giulia,2.9,6,1,1,11.5784862
19,ALFA ROMEO Giulia AWD,2,4,1,1,9.208285539
20,ALFA ROMEO Stelvio,2,4,1,1,9.28707367
21,ALFA ROMEO Stelvio AWD,2,4,1,1,9.63469983
22,ALFA ROMEO Stelvio AWD,2.9,6,1,1,12.2882817
23,Aston Martin Lagonda Ltd DB11 V12,5.2,12,1,1,13.81029269
24,Aston Martin Lagonda Ltd DB11 V8,4,8,1,1,11.52244626
25,Aston Martin Lagonda Ltd DBS,5.2,12,1,1,13.81029269
26,Aston Martin Lagonda Ltd DBX 707,4,8,1,1,14.03250248
27,Aston Martin Lagonda Ltd DBX V8,4,8,1,1,14.59019546
28,Aston Martin Lagonda Ltd V12 Vantage,5.2,12,1,1,14.33901302
29,Aston Martin Lagonda Ltd Vantage V8,4,8,1,1,11.52114815
30,Audi Q3,2,4,1,1,9.58659564
31,Audi Q3 S-Line,2,4,1,1,9.951555922
32,Audi Q7,2,4,1,1,10.99446093
33,Audi R8 Coupe quattro,5.2,10,0,1,15.46264339
34,Audi R8 Coupe RWD,5.2,10,0,1,13.71191055
35,Audi R8 GT RWD,5.2,10,0,1,13.95946467
36,Audi R8 Spyder quattro,5.2,10,0,1,15.46264339
37,Audi R8 Spyder RWD,5.2,10,0,1,13.71191055
38,Audi RS5 Coupe,2.9,6,1,1,11.42173145
39,Audi RS5 Sportback,2.9,6,1,1,11.46236391
40,Audi S3,2,4,1,1,8.900905947
41,Audi S4,3,6,1,1,9.664827195
42,Audi S5 Cabriolet,3,6,1,1,10.00897876
43,Audi S5 Coupe,3,6,1,1,9.664827195
44,Audi S5 Sportback,3,6,1,1,9.664827195
45,Audi SQ5,3,6,1,1,11.24422157
46,Audi SQ5 Sportback,3,6,1,1,11.24422157
47,Audi SQ7,4,8,1,1,14.18200674
48,Audi SQ8,4,8,1,1,14.18200674
49,Audi TT Coupe,2,4,1,1,9.249784692
50,Audi TT Roadster,2,4,1,1,9.249784692
51,Audi TTS Coupe,2,4,1,1,8.989214929
52,Bentley Bentayga,4,8,1,1,13.95664841
53,Bentley Bentayga EWB,4,8,1,1,13.95664841
54,Bentley Bentayga Speed,6,12,1,1,16.3123912
55,Bentley Continental GT,4,8,1,1,13.08219407
56,Bentley Continental GT Convertible,4,8,1,1,13.43496713
57,Bentley Continental GT Convertible Speed,6,12,1,1,16.96564459
58,Bentley Continental GT Speed,6,12,1,1,16.19212182
59,Bentley Flying Spur,4,8,1,1,13.59422501
60,Bentley Flying Spur,6,12,1,1,16.04258744
61,BMW 228i Gran Coupe,2,4,1,1,8.425513318
62,BMW 228i xDrive Gran Coupe,2,4,1,1,8.817917006
63,BMW 230i Coupe,2,4,1,1,8.033485093
64,BMW 230i xDrive Coupe,2,4,1,1,8.386489483
65,BMW 330i Sedan,2,4,1,1,8.192501672
66,BMW 330i xDrive Sedan,2,4,1,1,8.568982477
67,BMW 430i Convertible,2,4,1,1,8.372935778
68,BMW 430i Coupe,2,4,1,1,8.372935778
69,BMW 430i Gran Coupe,2,4,1,1,8.372935778
70,BMW 430i xDrive Convertible,2,4,1,1,8.727773325
71,BMW 430i xDrive Coupe,2,4,1,1,8.727773325
72,BMW 430i xDrive Gran Coupe,2,4,1,1,8.79618549
73,BMW 530i Sedan,2,4,1,1,8.357406045
74,BMW 530i xDrive Sedan,2,4,1,1,8.895217133
75,BMW 840i Convertible,3,6,1,1,9.934658743
76,BMW 840i Coupe,3,6,1,1,9.894039011
77,BMW 840i Gran Coupe,3,6,1,1,9.934658743
78,BMW 840i xDrive Convertible,3,6,1,1,9.941082991
79,BMW 840i xDrive Coupe,3,6,1,1,9.940116724
80,BMW 840i xDrive Gran Coupe,3,6,1,1,9.941082991
81,BMW ALPINA B8 Gran Coupe,4.4,8,1,1,12.19962552
82,BMW M2 Coupe,3,6,1,1,12.6961422
83,BMW M2 Coupe,3,6,1,1,12.37641215
84,BMW M235i xDrive Gran Coupe,2,4,1,1,8.631147872
85,BMW M240i Coupe,3,6,1,1,9.12122728
86,BMW M240i xDrive Coupe,3,6,1,1,9.010323891
87,BMW M3 Competition M xDrive Sedan,3,6,1,1,12.72836486
88,BMW M3 Competition Sedan,3,6,1,1,12.57666251
89,BMW M3 Sedan,3,6,1,1,12.62648766
90,BMW M4 Competition Coupe,3,6,1,1,12.57666251
91,BMW M4 Competition M xDrive Coupe,3,6,1,1,12.72836486
92,BMW M4 Coupe,3,6,1,1,12.62648766
93,BMW M4 CSL Coupe,3,6,1,1,12.88539498
94,BMW M4CompetitionMxDriveConvertible,3,6,1,1,12.94069102
95,BMW M5 Competition Sedan,4.4,8,1,1,13.83124482
96,BMW M5 Sedan,4.4,8,1,1,13.83124482
97,BMW M550i xDrive Sedan,4.4,8,1,1,11.95968861
98,BMW M8 Competition Convertible,4.4,8,1,1,13.74588722
99,BMW M8 Competition Coupe,4.4,8,1,1,13.74588722
100,BMW M8 Competition Gran Coupe,4.4,8,1,1,13.74588722
101,BMW M850i xDrive Convertible,4.4,8,1,1,12.19962552
102,BMW M850i xDrive Coupe,4.4,8,1,1,12.19140522
103,BMW M850i xDrive Gran Coupe,4.4,8,1,1,12.19962552
104,BMW X1 xDrive28i,2,4,1,1,8.408765909
105,BMW X2 M35i,2,4,1,1,8.86517739
106,BMW X2 sDrive28i,2,4,1,1,8.774560824
107,BMW X2 xDrive28i,2,4,1,1,8.86517739
108,BMW X3 M,3,6,1,1,13.9034367
109,BMW X3 M Competition,3,6,1,1,13.9034367
110,BMW X3 sDrive30i,2,4,1,1,9.433644433
111,BMW X3 xDrive30i,2,4,1,1,9.869875918
112,BMW X4 M,3,6,1,1,13.9034367
113,BMW X4 M Competition,3,6,1,1,13.9034367
114,BMW X4 xDrive30i,2,4,1,1,9.869875918
115,BMW X5 M,4.4,8,1,1,15.69374479
116,BMW X5 M Competition,4.4,8,1,1,15.69374479
117,BMW X5 M50i,4.4,8,1,1,12.95152196
118,BMW X6 M,4.4,8,1,1,15.69374479
119,BMW X6 M Competition,4.4,8,1,1,15.69374479
120,BMW X6 M50i,4.4,8,1,1,12.95152196
121,BMW Z4 M40i,3,6,1,1,9.080099908
122,BMW Z4 sDrive30i,2,4,1,1,8.391815474
123,Bugatti Chiron,8,16,1,1,22.20617252
124,Bugatti Chiron Pur Sport,8,16,1,1,26.07823137
125,Bugatti Chiron Super Sport,8,16,1,1,26.07823137
126,Buick ENCLAVE AWD,3.6,6,0,1,11.59435292
127,Buick ENCLAVE FWD,3.6,6,0,1,11.04645702
128,Buick ENCORE GX AWD,1.3,3,1,1,8.637645607
129,Buick ENCORE GX FWD,1.2,3,1,1,7.823694942
130,Buick ENCORE GX FWD,1.3,3,1,1,7.869029059
131,Buick ENVISION AWD,2,4,1,1,9.339252177
132,Buick ENVISION FWD,2,4,1,1,8.956388962
133,Cadillac CT4,2,4,1,1,8.768443891
134,Cadillac CT4,2.7,4,1,1,9.484388924
135,Cadillac CT4 AWD,2,4,1,1,9.218787969
136,Cadillac CT4 AWD,2.7,4,1,1,9.869296129
137,Cadillac CT4 V,2.7,4,1,1,10.24420413
138,Cadillac CT4 V,3.6,6,1,1,12.95337644
139,Cadillac CT4 V,3.6,6,1,1,12.64467919
140,Cadillac CT4 V AWD,2.7,4,1,1,10.01392182
141,Cadillac CT5,2,4,1,1,8.849534215
142,Cadillac CT5,3,6,1,1,10.72377869
143,Cadillac CT5 AWD,2,4,1,1,9.480375007
144,Cadillac CT5 AWD,3,6,1,1,11.07939424
145,Cadillac CT5 V,3,6,1,1,11.20047619
146,Cadillac ESCALADE 2WD,3,6,1,0,10.22652174
147,Cadillac ESCALADE 2WD,6.2,8,0,1,14.700625
148,Cadillac ESCALADE 4WD,3,6,1,0,10.69136364
149,Cadillac ESCALADE 4WD,6.2,8,0,1,14.95618888
150,Cadillac XT4 AWD,2,4,1,1,9.800416667
151,Cadillac XT4 FWD,2,4,1,1,8.956388962
152,Cadillac XT5 AWD,2,4,1,1,10.22652174
153,Cadillac XT5 AWD,3.6,6,0,1,11.28700993
154,Cadillac XT5 FWD,2,4,1,1,9.800416667
155,Cadillac XT5 FWD,3.6,6,0,1,11.08247423
156,Cadillac XT5 HEARSE AWD,2,4,1,1,11.27413387
157,Cadillac XT5 HEARSE FWD,2,4,1,1,11.27413387
158,Cadillac XT5 LIMO AWD,2,4,1,1,11.27413387
159,Cadillac XT5 LIMO FWD,2,4,1,1,11.27413387
160,Cadillac XT6 AWD,2,4,1,1,10.22652174
161,Cadillac XT6 AWD,3.6,6,0,1,11.46303426
162,Cadillac XT6 FWD,2,4,1,1,10.22652174
163,Cadillac XT6 FWD,3.6,6,0,1,11.08247423
164,Chevrolet BLAZER AWD,2,4,1,1,9.614260547
165,Chevrolet BLAZER AWD,3.6,6,0,1,11.03821444
166,Chevrolet BLAZER FWD,2,4,1,1,9.282675444
167,Chevrolet BLAZER FWD,3.6,6,0,1,10.7021144
